title,code
Aircraft Cargo Handling Supervisors,53-1041.00
Aircraft Mechanics & Service Technicians,49-3011.00
Aircraft Service Attendants,53-6032.00
Airfield Operations Specialists,53-2022.00
"Airline Pilots, Copilots, & Flight Engineers",53-2011.00
"Captains, Mates, & Pilots of Water Vessels",53-5021.00
Cargo & Freight Agents,43-5011.00
Commercial Pilots,53-2012.00
Flight Attendants,53-2031.00
Freight Forwarders,43-5011.01
Heavy & Tractor-Trailer Truck Drivers,53-3032.00
Locomotive Engineers,53-4011.00
Passenger Attendants,53-6061.00
Rail Car Repairers,49-3043.00
"Rail Yard Engineers, Dinkey Operators, & Hostlers",53-4013.00
Rail-Track Laying & Maintenance Equipment Operators,47-4061.00
"Railroad Brake, Signal, & Switch Operators & Locomotive Firers",53-4022.00
Railroad Conductors & Yardmasters,53-4031.00
Reservation & Transportation Ticket Agents & Travel Clerks,43-4181.00
Sailors & Marine Oilers,53-5011.00
Ship Engineers,53-5031.00
Signal & Track Switch Repairers,49-9097.00
"Tank Car, Truck, & Ship Loaders",53-7121.00
Aviation Inspectors,53-6051.01
Avionics Technicians,49-2091.00
Baggage Porters & Bellhops,39-6011.00
Bridge & Lock Tenders,53-6011.00
Bus & Truck Mechanics & Diesel Engine Specialists,49-3031.00
"Bus Drivers, School",53-3051.00
"Bus Drivers, Transit & Intercity",53-3052.00
Conveyor Operators & Tenders,53-7011.00
Couriers & Messengers,43-5021.00
Crane & Tower Operators,53-7021.00
Dispatchers,43-5032.00
"Electrical & Electronics Installers & Repairers, Transportation Equipment",49-2093.00
"First-Line Supervisors of Helpers, Laborers, & Material Movers, Hand",53-1042.00
First-Line Supervisors of Material-Moving Machine & Vehicle Operators,53-1043.00
First-Line Supervisors of Passenger Attendants,53-1044.00
Gas Compressor & Gas Pumping Station Operators,53-7071.00
Gas Plant Operators,51-8092.00
Hoist & Winch Operators,53-7041.00
Industrial Truck & Tractor Operators,53-7051.00
"Laborers & Freight, Stock, & Material Movers, Hand",53-7062.00
Light Truck Drivers,53-3033.00
Logisticians,13-1081.00
Logistics Analysts,13-1081.02
Logistics Engineers,13-1081.01
Machine Feeders & Offbearers,53-7063.00
Motorboat Operators,53-5022.00
Occupational Health & Safety Technicians,19-5012.00
"Packers & Packagers, Hand",53-7064.00
"Petroleum Pump System Operators, Refinery Operators, & Gaugers",51-8093.00
Pump Operators,53-7072.00
Recycling & Reclamation Workers,53-7062.04
Recycling Coordinators,53-1042.01
School Bus Monitors,33-9094.00
"Shipping, Receiving, & Inventory Clerks",43-5071.00
Shuttle Drivers & Chauffeurs,53-3053.00
Stockers & Order Fillers,53-7065.00
Supply Chain Managers,11-3071.04
Taxi Drivers,53-3054.00
Transit & Railroad Police,33-3052.00
Transportation Inspectors,53-6051.00
"Transportation Vehicle, Equipment & Systems Inspectors",53-6051.07
"Transportation, Storage, & Distribution Managers",11-3071.00
"Weighers, Measurers, Checkers, & Samplers, Recordkeeping",43-5111.00
